,tweet,sentiment,tweet,location
0,"Worked at the main office today, 89 Days since the last time I worked there! It’s a COVID thang! #monday #office #ittechnology #energy #utilities #cpsenergy #life #gym #fit #workout #asian #filipino #healthylifestyle… https://t.co/3dd2663T3b",0.14166666666666666,"Worked at the main office today, 89 Days since the last time I worked there! It’s a COVID thang! #monday #office #ittechnology #energy #utilities #cpsenergy #life #gym #fit #workout #asian #filipino #healthylifestyle… https://t.co/3dd2663T3b",Texas
1,"I'm back...kinda. I'm available to shoot sports this summer! I am limiting my availability to outdoor sports that make social distancing possible. 
I'm still offering an introductory rate of $100 per game (plus any… https://t.co/KJBcc63k6X",0.033333333333333326,"I'm back...kinda. I'm available to shoot sports this summer! I am limiting my availability to outdoor sports that make social distancing possible. 
I'm still offering an introductory rate of $100 per game (plus any… https://t.co/KJBcc63k6X",South Dakota
2,"COVID-19 update @ Queens, New York https://t.co/YbTiwU9NbS",0.13636363636363635,"COVID-19 update @ Queens, New York https://t.co/YbTiwU9NbS",New York
3,"Shout out to @fashionnova for helping keep my mask game on point‼️  #DazzlingDanette #PerformerLife #Mompreneur  #CoVidCouture #Quarantine #Influencer 
.
Mask @fashionnova @ Society Hill, Jersey City https://t.co/fdqPG7amM9",-0.625,"Shout out to @fashionnova for helping keep my mask game on point‼️  #DazzlingDanette #PerformerLife #Mompreneur  #CoVidCouture #Quarantine #Influencer 
.
Mask @fashionnova @ Society Hill, Jersey City https://t.co/fdqPG7amM9",New Jersey
4,Reminiscing on my favorite day ever! 💍 Still can’t believe we pulled this off just a couple weeks before quarantine hit! So thankful we got to have so much fun before months of lockdown. 🤍 | #pourstyles @ The Guild… https://t.co/dZZiGvuePa,0.540625,Reminiscing on my favorite day ever! 💍 Still can’t believe we pulled this off just a couple weeks before quarantine hit! So thankful we got to have so much fun before months of lockdown. 🤍 | #pourstyles @ The Guild… https://t.co/dZZiGvuePa,California
5,"••• Pre Covid 19 jam with friends! This pandemic sure has changed our lives in short span of time, but it’s important to be even more vigilant now than ever before as cases are spiking and Arizona has become a global… https://t.co/jliaCP0I4X",0.28,"••• Pre Covid 19 jam with friends! This pandemic sure has changed our lives in short span of time, but it’s important to be even more vigilant now than ever before as cases are spiking and Arizona has become a global… https://t.co/jliaCP0I4X",Arizona
6,Spring in The Nation. #gappoetpix #covid19 #walkingwithamask @ Westcott Nation https://t.co/zxkMUZKx3l,0.0,Spring in The Nation. #gappoetpix #covid19 #walkingwithamask @ Westcott Nation https://t.co/zxkMUZKx3l,New York
7,"Please wear your mask or stay home! #covid19 #coronavirus #wearyourmask @ Pensacola, Florida https://t.co/OTxy0ucOWo",0.0,"Please wear your mask or stay home! #covid19 #coronavirus #wearyourmask @ Pensacola, Florida https://t.co/OTxy0ucOWo",Florida
8,"#Arndtwalk 2020-06-22
7762 steps in 61 min 27 sec on #gazelle #edge #exercise glider
#fitness #fitnessjourney #fit #walk #workout #quarantinelife #quarantinelife😷 #quarantinelife❤️ #quarantine #fitnessfreak @ Eaton… https://t.co/1MVAZXiEoD",0.0,"#Arndtwalk 2020-06-22
7762 steps in 61 min 27 sec on #gazelle #edge #exercise glider
#fitness #fitnessjourney #fit #walk #workout #quarantinelife #quarantinelife😷 #quarantinelife❤️ #quarantine #fitnessfreak @ Eaton… https://t.co/1MVAZXiEoD",Michigan
9,More from The Nation. #gappoetpix #covid19 @ Westcott Nation https://t.co/DE7TGIJTMU,0.15000000000000002,More from The Nation. #gappoetpix #covid19 @ Westcott Nation https://t.co/DE7TGIJTMU,New York
10,"Inks on BLACKSMITH and DR. QUANTA. Part of the Allegiance and the first fold of the QUADRUPLE gatefold cover I’m working on! #indie #comics #heroes #comicart #clipstudiopaint #coronavirus #team #scifi @ Keysville,… https://t.co/eM021Wo1Jq",0.0,"Inks on BLACKSMITH and DR. QUANTA. Part of the Allegiance and the first fold of the QUADRUPLE gatefold cover I’m working on! #indie #comics #heroes #comicart #clipstudiopaint #coronavirus #team #scifi @ Keysville,… https://t.co/eM021Wo1Jq",Virginia
11,Your support of our #blackownedbusiness throughout the #Pandemic and #Protest has truly kept us #inspired! Today as the city reopened we are still here to serve our #Harlem community and we could not have done it… https://t.co/4aM71OWvZs,0.3133333333333333,Your support of our #blackownedbusiness throughout the #Pandemic and #Protest has truly kept us #inspired! Today as the city reopened we are still here to serve our #Harlem community and we could not have done it… https://t.co/4aM71OWvZs,New York
12,"Remember to be safe yall
#coronavirus #covid19 @ New York, New York https://t.co/gwO84bgozt",0.0,"Remember to be safe yall
#coronavirus #covid19 @ New York, New York https://t.co/gwO84bgozt",New York
13,"a portrait | from a distance ———————————————
#quarantine #covid_19 #pendemic #2020 #virus #social #socialdistancing #ourworld🌎 #sanfrancisco #demetriusphilpdotcom #portraitsbydp #blackpeoplenews #facemask… https://t.co/nxLTeKdEq1",-0.05500000000000002,"a portrait | from a distance ———————————————
#quarantine #covid_19 #pendemic #2020 #virus #social #socialdistancing #ourworld🌎 #sanfrancisco #demetriusphilpdotcom #portraitsbydp #blackpeoplenews #facemask… https://t.co/nxLTeKdEq1",California
14,#socialdistancing  done right #kapiolanipark @ Waikiki https://t.co/GKJsbAAEKK,0.2833333333333333,#socialdistancing  done right #kapiolanipark @ Waikiki https://t.co/GKJsbAAEKK,Hawaii
15,"📿 Necklines and Jewelry 📿
Summer is HERE and Necklines are making an appearance, even during the Summer of Corona! 😅Outings may be limited so it’s BEST to look your BEST! After all a first impression is a lasting… https://t.co/kjQwxgHeOv",0.2857142857142857,"📿 Necklines and Jewelry 📿
Summer is HERE and Necklines are making an appearance, even during the Summer of Corona! 😅Outings may be limited so it’s BEST to look your BEST! After all a first impression is a lasting… https://t.co/kjQwxgHeOv",Illinois
16,Thanks to my friend @zachbittick I was inspired to pick up the new Covid hobby of cross-stitch. And thanks to thestrandedstitch for sharing really awesome patterns and the idea of to become an anti-racist stitcher.… https://t.co/gH787mfQp9,0.2,Thanks to my friend @zachbittick I was inspired to pick up the new Covid hobby of cross-stitch. And thanks to thestrandedstitch for sharing really awesome patterns and the idea of to become an anti-racist stitcher.… https://t.co/gH787mfQp9,California
17,"2020 Coronavirus House Arrest Day 99 - It's the case of the Mondays and more freaking fireworks in my hipster neighborhood; enough already! With the bar officially open until we are free to fully roam uninhibited,… https://t.co/Moh8qSGgAU",0.4357142857142858,"2020 Coronavirus House Arrest Day 99 - It's the case of the Mondays and more freaking fireworks in my hipster neighborhood; enough already! With the bar officially open until we are free to fully roam uninhibited,… https://t.co/Moh8qSGgAU",California
18,#coronavirus #bebe #mask #goingtomyboat @ The Deck at Island Gardens https://t.co/EZsKVtrwou,0.3840909090909091,#coronavirus #bebe #mask #goingtomyboat @ The Deck at Island Gardens https://t.co/EZsKVtrwou,Florida
19,"COVID-19 update 
How come I didn't get this package delivery today USPS????
Home ???
100-15 204th St, Queens, NY 11423 @ Queens, New York https://t.co/fLDUnMqguc",0.2,"COVID-19 update 
How come I didn't get this package delivery today USPS????
Home ???
100-15 204th St, Queens, NY 11423 @ Queens, New York https://t.co/fLDUnMqguc",New York
20,"I said what I said . @ Corona, California https://t.co/t6NmeHC1Es",0.4,"I said what I said . @ Corona, California https://t.co/t6NmeHC1Es",California
21,"We are protesting I also do what I can to keep social distancing to stay on the outside or in the back or in the front I don't want to be in the middle of a bunch of people and I also wear my mask @ Fort Worth, Texas https://t.co/jkAHKdepdn",0.2671428571428572,"We are protesting I also do what I can to keep social distancing to stay on the outside or in the back or in the front I don't want to be in the middle of a bunch of people and I also wear my mask @ Fort Worth, Texas https://t.co/jkAHKdepdn",Texas
22,Weather on land or sea Im always me #trueself #mermaidlife #harlemmermaid while I may walk on land incognito I'm always in my #mersona though now with this #pandemic it has made it harder for us #mermaids to swim and… https://t.co/SiWfeyPPas,0.0,Weather on land or sea Im always me #trueself #mermaidlife #harlemmermaid while I may walk on land incognito I'm always in my #mersona though now with this #pandemic it has made it harder for us #mermaids to swim and… https://t.co/SiWfeyPPas,New York
23,"#newcollectionalert  When I started working on my collection late 2019 I was inspired by African Masks and what they represented to me, but then COVID 19 struck and the death of Breonna Taylor and all the other… https://t.co/fZlMIXJ2KK",0.0,"#newcollectionalert  When I started working on my collection late 2019 I was inspired by African Masks and what they represented to me, but then COVID 19 struck and the death of Breonna Taylor and all the other… https://t.co/fZlMIXJ2KK",Texas
24,"#newcollectionalert  When I started working on my collection late 2019 I was inspired by African Masks and what they represented to me, but then COVID 19 struck and the death of Breonna Taylor and all the other… https://t.co/ZtwEppIaty",-0.14166666666666666,"#newcollectionalert  When I started working on my collection late 2019 I was inspired by African Masks and what they represented to me, but then COVID 19 struck and the death of Breonna Taylor and all the other… https://t.co/ZtwEppIaty",Texas
25,"To follow the Hillsborough county guidance and continue to practice the 6ft social distancing, all customers must wear masks upon entering the store.   

Our current hours are 12pm - 10pm.

To order in advance of… https://t.co/t5miFXNjAD",0.21,"To follow the Hillsborough county guidance and continue to practice the 6ft social distancing, all customers must wear masks upon entering the store.   

Our current hours are 12pm - 10pm.

To order in advance of… https://t.co/t5miFXNjAD",Florida
26,It’s coming soon y’all get ready! 🔥 Debuting on youtube a video remake of #EasyLover for #covid19 leland.sklar @jaygoreguitar norikojazz @ttchadtt and @gussiemiller Many thanks to steinbergmedia adobe sslaudio in… https://t.co/JVlQATp0N8,0.12878787878787878,It’s coming soon y’all get ready! 🔥 Debuting on youtube a video remake of #EasyLover for #covid19 leland.sklar @jaygoreguitar norikojazz @ttchadtt and @gussiemiller Many thanks to steinbergmedia adobe sslaudio in… https://t.co/JVlQATp0N8,California
27,Warp Speed COVID-19 Vaccine Makes Big Pharma Crooks Rich https://t.co/h9w3gD0Kro https://t.co/CH0xnvEV58,0.7,Warp Speed COVID-19 Vaccine Makes Big Pharma Crooks Rich https://t.co/h9w3gD0Kro https://t.co/CH0xnvEV58,California
28,"Only just got home from work and started checking it out, but I’m loving a lot of the look and animations in Big Sur.",0.0,"Only just got home from work and started checking it out, but I’m loving a lot of the look and animations in Big Sur.",Arizona
29,"Remember summer’s not cancelled. Experience summer the 2020 way; spend time with your loved ones in small gatherings, practice social distancing, wear those masks, wash your hands, avoid dining out, cook more,… https://t.co/z4iPoIb6A8",-0.16666666666666666,"Remember summer’s not cancelled. Experience summer the 2020 way; spend time with your loved ones in small gatherings, practice social distancing, wear those masks, wash your hands, avoid dining out, cook more,… https://t.co/z4iPoIb6A8",California
30,The neighbors have been displaying fireworks and upsetting dogs and birds around. Our cameraman in lockdown keeps on shooting to keep up with his promises of a weekly video. This is the trailer for the upcoming… https://t.co/NRgzobEHAr,0.006818181818181814,The neighbors have been displaying fireworks and upsetting dogs and birds around. Our cameraman in lockdown keeps on shooting to keep up with his promises of a weekly video. This is the trailer for the upcoming… https://t.co/NRgzobEHAr,California
31,"Way, way back in the early days of Covid, Katie Gately @kgsounds  invited me for a wonderfully personal chat about my history, influences, and electronics hacking. The show features 📯 NEW MUSIC 📯 and a guest mix… https://t.co/oH1imAVbvA",0.0,"Way, way back in the early days of Covid, Katie Gately @kgsounds  invited me for a wonderfully personal chat about my history, influences, and electronics hacking. The show features 📯 NEW MUSIC 📯 and a guest mix… https://t.co/oH1imAVbvA",California
32,"Covid-19 birthday... chalk this one up y'all! Pray that we all get a do over next year lol! Life is good though 😉

•
•
•
🎈 #birthday #bday #party #toptags #happybirthday #instabday #bestoftheday #birthdaycake #cake… https://t.co/qsqd8Sap8h",0.0,"Covid-19 birthday... chalk this one up y'all! Pray that we all get a do over next year lol! Life is good though 😉

•
•
•
🎈 #birthday #bday #party #toptags #happybirthday #instabday #bestoftheday #birthdaycake #cake… https://t.co/qsqd8Sap8h",Pennsylvania
33,"Is this (photo) confinement? Is this a “first world problem”? 

Or is this sunset just another “entitled” sunset in some “luxury apts” (optics exclude shattered glass and dog shit in the stairwell)? 

#covid19… https://t.co/9Cnv80oRIg",0.5666666666666667,"Is this (photo) confinement? Is this a “first world problem”? 

Or is this sunset just another “entitled” sunset in some “luxury apts” (optics exclude shattered glass and dog shit in the stairwell)? 

#covid19… https://t.co/9Cnv80oRIg",Texas
34,"2020 day 173 - front row
.
.
.
.
.
#frontrow #goldenhour #monday #orange #orangey #palmtrees #silhouette #sunset #socialdistancing #venice #venicebeach #losangeles #losangelesgrammers #california #dank #dankmedia… https://t.co/qkRyCWvKI9",0.0,"2020 day 173 - front row
.
.
.
.
.
#frontrow #goldenhour #monday #orange #orangey #palmtrees #silhouette #sunset #socialdistancing #venice #venicebeach #losangeles #losangelesgrammers #california #dank #dankmedia… https://t.co/qkRyCWvKI9",California
35,Best Leadership Practices During COVID-19 (Part 4)  https://t.co/BUwMKUqqQc,0.06818181818181818,Best Leadership Practices During COVID-19 (Part 4)  https://t.co/BUwMKUqqQc,New York
36,"Introducing lockdown haircut and my rockstar #loveyourself #kids #hairstyles #summer #red #swag #love #california #bayarea @ San Francisco Bay Area, California https://t.co/iNjoPJXmcK",1.0,"Introducing lockdown haircut and my rockstar #loveyourself #kids #hairstyles #summer #red #swag #love #california #bayarea @ San Francisco Bay Area, California https://t.co/iNjoPJXmcK",California
37,Some of my work before lockdown!! #myskintattoo #piranhatattoosupplies #mrcrazychucotown #elpasotattoo #estilochuco #blackandgrey #inklife #tattoolife #tattoomagazine #inkedmagazine #eztattoo #solidtattooink #ElPaso… https://t.co/9MMuJeSTVW,0.30000000000000004,Some of my work before lockdown!! #myskintattoo #piranhatattoosupplies #mrcrazychucotown #elpasotattoo #estilochuco #blackandgrey #inklife #tattoolife #tattoomagazine #inkedmagazine #eztattoo #solidtattooink #ElPaso… https://t.co/9MMuJeSTVW,Texas
38,Phase 2 Reopening!  https://t.co/Zi2qYQCbnM,0.1645021645021645,Phase 2 Reopening!  https://t.co/Zi2qYQCbnM,New York
