,Province_State,Confirmed
0,Alabama,7611
1,Alaska,365
3,Arizona,8364
4,Arkansas,3372
5,California,53347
6,Colorado,16225
7,Connecticut,29287
8,Delaware,5038
10,District of Columbia,4797
11,Florida,35463
12,Georgia,28331
15,Hawaii,620
16,Idaho,2061
17,Illinois,58505
18,Indiana,19295
19,Iowa,8643
20,Kansas,4885
21,Kentucky,4879
22,Louisiana,29140
23,Maine,1153
24,Maryland,24473
25,Massachusetts,66263
26,Michigan,43207
27,Minnesota,6232
28,Mississippi,7441
29,Missouri,8356
30,Montana,455
31,Nebraska,5317
32,Nevada,5389
33,New Hampshire,2429
34,New Jersey,123717
35,New Mexico,3732
36,New York,312977
37,North Carolina,11588
38,North Dakota,1153
40,Ohio,19335
41,Oklahoma,3851
42,Oregon,2635
43,Pennsylvania,50494
45,Rhode Island,9289
46,South Carolina,6489
47,South Dakota,2588
48,Tennessee,12661
49,Texas,30917
50,Utah,4985
51,Vermont,886
53,Virginia,17738
54,Washington,15003
55,West Virginia,1185
56,Wisconsin,7660
57,Wyoming,579
