,Province_State,Confirmed
0,Alabama,50508
1,Alaska,1323
3,Arizona,116892
4,Arkansas,26803
5,California,310885
6,Colorado,36173
7,Connecticut,47287
8,Delaware,12652
10,District of Columbia,10743
11,Florida,244151
12,Georgia,111217
15,Hawaii,1158
16,Idaho,9929
17,Illinois,152899
18,Indiana,50300
19,Iowa,34172
20,Kansas,18303
21,Kentucky,18672
22,Louisiana,74636
23,Maine,3499
24,Maryland,71910
25,Massachusetts,111110
26,Michigan,75685
27,Minnesota,40767
28,Mississippi,34622
29,Missouri,27069
30,Montana,1593
31,Nebraska,20777
32,Nevada,25908
33,New Hampshire,5991
34,New Jersey,174628
35,New Mexico,14549
36,New York,400299
37,North Carolina,82032
38,North Dakota,4155
40,Ohio,62856
41,Oklahoma,19092
42,Oregon,11454
43,Pennsylvania,98482
45,Rhode Island,17312
46,South Carolina,52419
47,South Dakota,7401
48,Tennessee,59546
49,Texas,244756
50,Utah,28223
51,Vermont,1277
53,Virginia,68931
54,Washington,39218
55,West Virginia,3983
56,Wisconsin,34753
57,Wyoming,1790
