,Province_State,Confirmed
0,Alabama,13670
1,Alaska,403
3,Arizona,15624
4,Arkansas,5612
5,California,90252
6,Colorado,23487
7,Connecticut,39640
8,Delaware,8529
10,District of Columbia,7893
11,Florida,49451
12,Georgia,41482
15,Hawaii,642
16,Idaho,2595
17,Illinois,105444
18,Indiana,30409
19,Iowa,16492
20,Kansas,8909
21,Kentucky,8426
22,Louisiana,36925
23,Maine,1948
24,Maryland,44424
25,Massachusetts,90889
26,Michigan,53913
27,Minnesota,19005
28,Mississippi,12625
29,Missouri,11836
30,Montana,479
31,Nebraska,11662
32,Nevada,7525
33,New Hampshire,4014
34,New Jersey,152579
35,New Mexico,6625
36,New York,358154
37,North Carolina,22110
38,North Dakota,2317
40,Ohio,30794
41,Oklahoma,5849
42,Oregon,3864
43,Pennsylvania,70211
45,Rhode Island,13736
46,South Carolina,9638
47,South Dakota,4356
48,Tennessee,19394
49,Texas,53539
50,Utah,8057
51,Vermont,952
53,Virginia,34950
54,Washington,19265
55,West Virginia,1705
56,Wisconsin,14396
57,Wyoming,803
