,Province_State,Confirmed
0,Alabama,13288
1,Alaska,401
3,Arizona,15348
4,Arkansas,5458
5,California,88031
6,Colorado,23191
7,Connecticut,39208
8,Delaware,8386
10,District of Columbia,7788
11,Florida,48675
12,Georgia,40663
15,Hawaii,647
16,Idaho,2506
17,Illinois,102688
18,Indiana,29936
19,Iowa,16170
20,Kansas,8625
21,Kentucky,8286
22,Louisiana,36504
23,Maine,1877
24,Maryland,43531
25,Massachusetts,90084
26,Michigan,53510
27,Minnesota,18200
28,Mississippi,12222
29,Missouri,11689
30,Montana,479
31,Nebraska,11427
32,Nevada,7400
33,New Hampshire,3935
34,New Jersey,151586
35,New Mexico,6472
36,New York,356458
37,North Carolina,20512
38,North Dakota,2229
40,Ohio,30167
41,Oklahoma,5680
42,Oregon,3817
43,Pennsylvania,69252
45,Rhode Island,13571
46,South Carolina,9381
47,South Dakota,4177
48,Tennessee,18961
49,Texas,53053
50,Utah,7874
51,Vermont,950
53,Virginia,34137
54,Washington,19117
55,West Virginia,1593
56,Wisconsin,13885
57,Wyoming,801
