,Province_State,Confirmed
0,Alabama,26912
1,Alaska,675
3,Arizona,39185
4,Arkansas,13191
5,California,158961
6,Colorado,29427
7,Connecticut,45349
8,Delaware,10403
10,District of Columbia,9818
11,Florida,80109
12,Georgia,59078
15,Hawaii,736
16,Idaho,3462
17,Illinois,133639
18,Indiana,40786
19,Iowa,24179
20,Kansas,11411
21,Kentucky,12647
22,Louisiana,47706
23,Maine,2819
24,Maryland,62409
25,Massachusetts,105885
26,Michigan,66269
27,Minnesota,30882
28,Mississippi,20152
29,Missouri,16857
30,Montana,614
31,Nebraska,17038
32,Nevada,11683
33,New Hampshire,5364
34,New Jersey,167426
35,New Mexico,9933
36,New York,384575
37,North Carolina,45907
38,North Dakota,3124
40,Ohio,42010
41,Oklahoma,8645
42,Oregon,6098
43,Pennsylvania,83978
45,Rhode Island,16164
46,South Carolina,19990
47,South Dakota,5966
48,Tennessee,31751
49,Texas,93569
50,Utah,14937
51,Vermont,1131
53,Virginia,55331
54,Washington,26531
55,West Virginia,2341
56,Wisconsin,23198
57,Wyoming,1089
