,Province_State,Confirmed
0,Alabama,53587
1,Alaska,1479
3,Arizona,122467
4,Arkansas,28367
5,California,324543
6,Colorado,36895
7,Connecticut,47287
8,Delaware,12804
10,District of Columbia,10847
11,Florida,269811
12,Georgia,116935
15,Hawaii,1220
16,Idaho,10903
17,Illinois,155048
18,Indiana,51612
19,Iowa,35410
20,Kansas,18981
21,Kentucky,19389
22,Louisiana,78122
23,Maine,3539
24,Maryland,73109
25,Massachusetts,111597
26,Michigan,76776
27,Minnesota,42281
28,Mississippi,36287
29,Missouri,27880
30,Montana,1758
31,Nebraska,21172
32,Nevada,27683
33,New Hampshire,6054
34,New Jersey,175298
35,New Mexico,15028
36,New York,401706
37,North Carolina,85771
38,North Dakota,4334
40,Ohio,65592
41,Oklahoma,20235
42,Oregon,12170
43,Pennsylvania,99794
45,Rhode Island,17312
46,South Carolina,56648
47,South Dakota,7499
48,Tennessee,61960
49,Texas,262762
50,Utah,29484
51,Vermont,1296
53,Virginia,70670
54,Washington,40656
55,West Virginia,4244
56,Wisconsin,36448
57,Wyoming,1862
