tweet,location
"Corona Virus is here! #coronavirus #selfisolation #covod19 #here #funny #lol @ Texarkana, Texas https://t.co/KFqcCnSED0",Texas
"#Corona #Covid19 #coronavirus  #wjmg @ West Columbus, Columbus https://t.co/O3RIlVjdp1",Ohio
"To the students that supported us during the Covid-19, you are all SUPER HEROES. 

You are the best part of our GYM and culture.

We look forward to seeing you back at your home away from home! @ Dominion MMA https://t.co/LJK9L6oqAp",Texas
New Mask Alert!!! Day #8252681...These KN95 is Real Breathable!!! ....🗣💨💨😷👑✨🤍❤️.. #fort74films #kingsabroad  #queensabroad #kingsandqueensabroad #kqa #corona #kn95facemask #therona #rona #maskoff #maskon #red… https://t.co/n2EthInOAR,New York
"Bored Corona food with perpetuallydirtyhands 

2 pound cheese burger with homemade Japanese milk bread bun. @ Barton Hills, Austin, Texas https://t.co/4CKgQ7HmuO",Texas
"COVID-19 update @ Queens, New York https://t.co/tZsT5VUD3t",New York
"17 April 2020

COVID Bus Stop

The mayor ordered new measures today to further reduce the spread of the virus, requiring people to wear masks on mass transit, or while running errands, etc. due to take effect at… https://t.co/0xQj8yRALw",California
Still printing ear savers #covi̇d19 #covid #md #808 #nurse #sandyflemings any one need let me know @ Sandy Fleming's Fast Elec-Tricks https://t.co/7HoLw7CrmL,Hawaii
Your beard and you: a corona virus story.,California
A COVID-19 update from President-Principal Mr. Dan Horn.  #WeAreSG #ValiantSpirit @ St Genevieve High School https://t.co/dVCKahTygn,California
"Detalle de una obra / Detail of a work of art

covid -19 detector gun - Pistola detectora del virus 

For more information, please visit our website or give us a call.  We'd love to show you our galleries.… https://t.co/Sq8W3K4Tsz",Florida
Can’t wait til this corona shit let up,Oklahoma
"Getting there #bioweapon #corona #tvirus #virus # residentevil #sketch #digitalpainting #residentevil3 #art @ Lincoln Beach, Oregon https://t.co/IAwabhHc7e",Oregon
"COVID-19 update @ New York, New York https://t.co/BmhgGj8EfD",New York
"#BREAKINGNEWS ...

#JohnTravolta was #hospitalized for suspected #COVID-19, but #doctors now confirm that it was only #SaturdayNightFever, and they assure everyone that he is #StayingAlive.

Apparently he had… https://t.co/FXlOBLEQlr",California
"# #SOLANGE #super73 #mysuper73 😂👍🏾⚠️🔵❤️ #Anybody Teaching sign language - Thugger way 😂 THANK GOD FOR CORONA 🤓 @ Atlanta, Georgia https://t.co/erJ7qkoxZA",Georgia
"Just posted a photo @ Corona, California https://t.co/ulUn7zWilr",California
100 t-posts in 2 days. Hands torn apart in blisters. Really glad I pulled all but my wedding band for COVID-19. Muscles sore. Fencing is looking good though! @ Holistic Horsemanship Institute of America https://t.co/nJ8k4rBRl3,Missouri
Tonight @ 6PM visit https://t.co/dUV12dOIoy and listen to the new Lockdown Mixx 3!!  All songz are radio edited versions...  Dedicated to the front-liners of this covid battle. I appreciate every one that is… https://t.co/kmHwDzxRNy,California
Sometime you have to stop and.... #beauty #mothernature #rose #backyard #beauties #covid #quarantinelife #hawaii @ Oahu https://t.co/MGuLU94j5a,Hawaii
"Yeezy Boost 350 V2 “Clay” 
Size 14 $250 (Condition: 10/10)
👇🏽 👇🏾NOW ONLINE👇🏽👇🏽
https://t.co/LyfCZs7Q7h 👈🏽
••••••
👨🏽‍⚕️Due to COVID-19 CORE x DeadStockDMV National Harbor will be temporarily closed until further notice.… https://t.co/aCwOFuUQir",Maryland
"#COVIDLOOK cute and responsible!

#coronavirus #covid #covid19 #mask #fridaynight #wine #westcampus #UT #dog #furcoat #orangemarket #newnormal @ Orange Market https://t.co/i4eMWt0ukI",Texas
Apply - mixed media on 24”x18” paper #quarantart #seanpaullambertart #art #artist #abstract #apply #color #form #design #balance #portland #pdx #corona #stayhome #makeart #arty #modern #pop #composition #beautiful… https://t.co/dJ1P0joMPE,Oregon
Systems Biologist Speaks Out About COVID-19 Response https://t.co/AjUROgxXbk https://t.co/JVVXQi91P5,California
"Need more nights out. Gtfo covid-19 @ Arlington, Texas https://t.co/bu4UFfWYAr",Texas
"🌀
covid-19 pandemic quarantine
these are
the people
of
Granville, Ohio | April 2020
.
the Wollenberg family
sold their home during the quarantine
Knoll Drive
.
.
✨ PLEASE READ ✨
.
as a documentary / editorial… https://t.co/LVuuZDwkFv",Ohio
"🌀
covid-19 pandemic quarantine
these are
the people
of
Granville, Ohio | April 2020
.
the Mennell family
Orchard Drive
.
.
✨ PLEASE READ ✨
.
as a documentary / editorial photographer who lives 
in Granville, Ohio.
i… https://t.co/z6kqNs0JYH",Ohio
"#strength #cardio #corona #resistancebandsworkout #afro #house #indoors #fun #challenge #20 #wellnesscoach @ New York, New York https://t.co/r91Or5is1e",New York
"Keep your #facemasks clean!!
They carry germs and bacteria and probably the smell of your breath NOT TO MENTION Covid-19. Wash them at night in your sink with some of my Lux Body Wash and they'll smell great a should… https://t.co/wxBHNy9iFE",California
"Working hard to get peoples packages to them in the early morning a.m. #covid @ Plantation, Florida https://t.co/IbeAKjQK8C",Florida
