,Province_State,Confirmed
0,Alabama,23710
1,Alaska,624
3,Arizona,33039
4,Arkansas,11547
5,California,146659
6,Colorado,28807
7,Connecticut,44689
8,Delaware,10173
10,District of Columbia,9654
11,Florida,70971
12,Georgia,55783
15,Hawaii,706
16,Idaho,3353
17,Illinois,131198
18,Indiana,39146
19,Iowa,23350
20,Kansas,10973
21,Kentucky,12166
22,Louisiana,44995
23,Maine,2721
24,Maryland,60613
25,Massachusetts,105059
26,Michigan,65672
27,Minnesota,29795
28,Mississippi,19091
29,Missouri,15997
30,Montana,573
31,Nebraska,16522
32,Nevada,10704
33,New Hampshire,5251
34,New Jersey,166164
35,New Mexico,9526
36,New York,381714
37,North Carolina,41417
38,North Dakota,3016
40,Ohio,40424
41,Oklahoma,7849
42,Oregon,5377
43,Pennsylvania,82481
45,Rhode Island,15947
46,South Carolina,17170
47,South Dakota,5742
48,Tennessee,29118
49,Texas,84927
50,Utah,13577
51,Vermont,1119
53,Virginia,53211
54,Washington,25171
55,West Virginia,2249
56,Wisconsin,22246
57,Wyoming,1027
