,Province_State,Confirmed
0,Alabama,19072
1,Alaska,512
3,Arizona,22886
4,Arkansas,8425
5,California,122168
6,Colorado,27346
7,Connecticut,43239
8,Delaware,9746
10,District of Columbia,9120
11,Florida,60183
12,Georgia,49859
15,Hawaii,655
16,Idaho,2990
17,Illinois,124759
18,Indiana,36096
19,Iowa,20806
20,Kansas,10167
21,Kentucky,10705
22,Louisiana,41562
23,Maine,2446
24,Maryland,55858
25,Massachusetts,102063
26,Michigan,58241
27,Minnesota,26273
28,Mississippi,16560
29,Missouri,14438
30,Montana,539
31,Nebraska,15139
32,Nevada,9129
33,New Hampshire,4876
34,New Jersey,162530
35,New Mexico,8353
36,New York,375133
37,North Carolina,32075
38,North Dakota,2706
40,Ohio,37282
41,Oklahoma,6907
42,Oregon,4474
43,Pennsylvania,78335
45,Rhode Island,15325
46,South Carolina,12415
47,South Dakota,5247
48,Tennessee,25190
49,Texas,70555
50,Utah,10813
51,Vermont,1026
53,Virginia,47856
54,Washington,22729
55,West Virginia,2102
56,Wisconsin,19892
57,Wyoming,921
