tweet,location
Looks like we are back at it! A little Social Distancing Project created by the amazing eddievalenz w/ my Twin Sis @itspoofy Final product out soon! Keep an eye out #Maam6FeetPlease @ MOB HQ https://t.co/8jQULYXyo2,California
"The league tournament scheduled for next week has been cancelled due to the increasing number of COVID cases, so tonight was Gage’s last league game. The season ended with more losses than wins for the Red Sox, but… https://t.co/DUNinYOsaB",Arkansas
Hang drying my washed COVID masks. The New Normal. @ Antioch Acres https://t.co/4JY6PS6Qs1,Missouri
Melodrama Boutique has been doing some upgrades during Covid and enhancing the shopping experience for customers. Thanks @djelevated for designing a beautiful custom new counter top for me to greet and check out… https://t.co/ygcrj8CNRp,Texas
"#tbt to before social distancing. 
@CBSLACraig just texted me this 📸 and I really miss having coworkers in the studio!! (Especially for the laughs during commercial breaks) 
During COVID19 we’ve limited it to only… https://t.co/Gu58QM1PUN",Washington
Happy 🌸 Birthday Dreaming 🦋 praying for a cure for this🙏🙏🙏 Pandemic focus on the✨ LIGHT ✨#summer2020 #betterdaysahead🙏 @ Port Royal Naples Florida https://t.co/6AsaONPMNp,Florida
"Days that start with sunrise 🌄 walks &amp; end with sunset 🌅 ones are not a bad way to pass this pandemic. Love you 😘 Maui, mahalo for having me 🙏🙏🙏. #stacymaui #sunshine #sunset #summervibes #whatdayisit #mauinokaoi… https://t.co/rhLSqVsguW",Hawaii
"Halloween Covid Masks ready for orders at https://t.co/E7LN5jfSm6 #topheradam #imafoolishmortalstore #imafoolishmortal #halloween @ Henderson, Nevada https://t.co/FGIhC1nrBz",Nevada
"The world may be in a pandemic, but pretty sunsets are Universal! @ Citywalk Orlando https://t.co/w2MNVat94B",Florida
"This is Orange County COVID-19 🦠 for today ONLY!!! 46 in Irvine today and 5 deaths to Date!!! #WearAMask!!! #StayHome!!! #StaySafe!!! @ Orange County, California https://t.co/jHVxozCvpe",California
"It was a spontaneous trip to Downtown Disney, which just happened to be the grand re-opening post COVID-19 and it wasn’t crowded at all - and yeah, I bought a #BabyYoda mask. 😷 (pc: @fishking_21) #downtowndisney… https://t.co/u56kfotaUE",California
"The world may be in a pandemic, but pretty sunsets are Universal! @ Citywalk Orlando https://t.co/CqxjLAbvyP",Florida
Can someone please tell autolgnd what this unicorn I bought from @ImportsVenus for pennies on the dollar during a pandemic mind you. This is an upcoming build since my heart is truly in Japan as far as cars are… https://t.co/rdv0ak0hER,California
"that time they ""❤️ING Your Mask Slay ""  OH This? Just a lil' ol' Mesh and  Chain Thannnnng 🥰 Thanx Tho #mask #slay #me #chain #oh #this #socialdistancing #Glam #sequins #glitter #DaZZVib3Z #creative #fashion… https://t.co/EHBDzLcnch",New York
"SOLD! 🏡

Working with Josh &amp; Nikki has been an incredible experience and it was an absolute pleasure working with them!! We started our search right when COVID-19 🦠 was ramping up, making us endure the extra forms,… https://t.co/ZlFonFKHNI",Kansas
Also water is wet. https://t.co/7NyeJdwmct,Washington
"Join with us each night. We call it P91 and it only takes 5 minutes. #p91 #911pm #psalms91 #covid19 #prayer #protection @ Flatwoods, Tennessee https://t.co/PcEHvhLaPx",Tennessee
Even a moody sunset can be breathtaking #californiadreaming #calilove #manhattanbeach #sunset #sunsetphotography #beachlife #during #covid19 #socialdistancing2020 #stayhealthy #staysafe #stay6feetaway #worth #the… https://t.co/YT5ORQNAqk,California
"Gentlemanly Class - joekennedyiii - the grandson of Robert F Kennedy yesterday released the Kennedy Jobs &amp; Justive Initiative aimed to build a just, equal, and resilient post-COVID economy in US.

This plan is… https://t.co/28o1nn8bnE",Massachusetts
"Just booked my first social distancing trip to Sedona for my birthday next week. Although I am still jobless and broke, I think it's important to make time for yourself and get out and explore....while wearing a mask… https://t.co/qV6B9NOSgz",Arizona
