tweet,sentiment
"Another night of COVID-19 Entertainment. 
Enjoying the Bear Necessities. @ Helotes, Texas https://t.co/2EFnHzgtLm",0.5
"Sigh. The sign wasn’t enough, so they added the red tape. Now the red tape wasn’t enough, so they added yellow tape. #covid19 (@ Halcyon Commons in Berkeley, CA) https://t.co/YicbyQGBDe https://t.co/JzpDmwblP2",0.0
"Nature is temperamental - always evolving quickly - in this case, keep your eyes on the green 

#covid #covid19 #coronavirus #flattenthecurve #socialdistancing #vintage #cheflove #instachef #industry #cheflife… https://t.co/TipMWZElmz",0.06666666666666665
"COVID-19 update @ Queens, New York https://t.co/V1ta5Af08g",0.13636363636363635
"I can’t stop cooking. #Veggies #Carrots #Broccoli #Cauliflower #Zucchini #NormandieBlend #Garlic #Vegetables #Fresh #Pasta #Dinner #COVID-19 #Quarantine #Food #FoodPorn #Eating @ Astoria, New York https://t.co/WSKtiGucm4",-0.125
"3 months ago to the day Trump said this will all go away in April. That the Coronavirus has been contained. Well Trump your lies have caught up with you 100,000 times! 
#25AmendmentNow 
#VOTEJOE2020 
#VOTEBLUE2020… https://t.co/IHvcA9XgLD",0.21818181818181812
"#covid19 is. Ringing out all the wildlife. This #peacock was on top of my roof, right above my bedroom. The video shows how huge this beautiful bird is. It was in the top branches of a #redwoodtree #nature… https://t.co/EHIe3ugRSA",0.0
"#Carpool #Denver -&gt; #Austin Hi
Need to drive to Austin to avoid flying during COVID.

You should tell me a good bit about yourself and be willing to help drive. 1 Seat offered #splitcosts https://t.co/iW0xImVD55",0.4226190476190476
Best day! Happiness is listening to giggles all day long. I am so incredibly grateful for days like today!! #covid19 #memorialday2020 #familytime @ Crab Island https://t.co/2GL0yA87B3,0.4390376984126985
"I went out this evening in search of sunflowers 🌻 #bl💚💚m #dawnkincadephotography #sunsetphotography #yolocounty #composition #covid19 #sunflowers🌻 #plantkindness #winterscalifornia @ Winters, California https://t.co/U4SHi6lsxb",0.6625
"🚨Shipping Delays Due to 
Covid 19. 🚨
-
-
-
-
Our Product is 2 weeks late of the original Eta. It’s currently transporting. We’re Expecting Arrival within the Next Few Days. Please be patient with us during this… https://t.co/w0uNm2ZgPE",-0.3277777777777778
"Gender Based Violence, a Covid Lockdown Nightmare  https://t.co/VTGacwznBU",0.1
"On today’s episode of the Coronavirus Cooking Diaries let’s talk about Banana Bread.

Excerpts of the following comes from PJ Hamel who wrote about the history of Banana Bread on the kingarthurflour website.… https://t.co/M6Ky0ZIpFj",0.0
#Coronavirus hit meat plants just as workers were being asked to speed up | ArcaMax Publishing - try vegetarian  https://t.co/bLMISKhHg2,0.5
"Our dear friend Tim has started a social-impact coffee company, Triple Coffee Co. His producers get 90% of the profits. It's a small business startup and was severely impacted by Covid. I've ordered coffee from his… https://t.co/G2FORZmPnS",0.0
"Are you looking for an amazing small business to support their recovery efforts from COVID-19. Support All That &amp; MORE boutique!  We are a small woman owned business in Culver City. 
We carry women’s clothing that is… https://t.co/9a2mtxRnzM",0.35
"The Real Estate market is HOT HOT HOT!!! This home had over 30+ serious buyers interested in the first 6 days ... PRE-SCREENED, COVID19 form signed, &amp; Private Tours with safety measure and PPE. 
Results = Multiple… https://t.co/zY8jvbytRw",0.0
"The Chief of Police of Orange County said he would not enforce the law. He needs to be removed and replaced. #RemoveTheChief 
#WhitePrivilege #coronavirus @ Fullerton, California https://t.co/1ZpGdb3dRR",0.14
"Late for my tinder date ... 68⁣
Avocado on a plate ... 38⁣
Dancing Queen  ...  17⁣
⁣
How has you favourite restaurant responded to the Covid-19 pandemic?⁣
⁣
Have they opened offered Bingo nights (see the calls… https://t.co/Dm9K7vS6Z8",0.15054976851851853
"2020 day 147 - overcast
.
.
.
.
.
#overcast #maygray #marinelayer #tuesday #socialdistancing #covid19 #venice #venicebeach #losangeles #losangelesgrammers #dank #dankmedia #dankvenice #366photo #abc7eyewitness… https://t.co/wkjp6IZY00",-0.05000000000000001
COVID Symptoms of Power: Tech Billionaires Harvest Humanity https://t.co/XxnoxBwsJn https://t.co/BuOhwe6h0g,0.13636363636363635
Such a great day for our state. Another big step to getting back to normalcy but doing it the right way. https://t.co/YEpEdF6F57,0.0
"🚨 As we move forward with the changes in restrictions and guidelines during this Covid-19 pandemic, our #1 goal is to provide a safe environment for our customers as well as our employees.  We thank you for your… https://t.co/2e5aG9nWq9",0.48828125
"https://t.co/q1bIRB22rA This post has local news on the coronavirus pandemic from Monday, May 25. Read Tuesday's live updates here . If you have a news tip or question, email us https://t.co/ZzBsp8u383 #atx #austin #all512",0.15681818181818186
"Quarantine, Moran Lake Gnome is ready for COVID-19 in Santa Cruz, CA. May 26, 2020. #covid_19 #santacruz #moranlakebeach #gnome #lepe #artistsoninstagram @ Moran Lake Park https://t.co/OCKabo0ma2",0.5
Reposted from kingfisher.collective The Friday Raffle drawing is almost upon us. Buy a chance to win one of many prizes for as little as $5. We’re beginning to see the light at the end of this portion of our corona… https://t.co/RI0q3j39GM,0.0
https://t.co/q1bIRB22rA We'll be updating this story throughout the day Tuesday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/456JtfftZK #atx #austin #all512,-0.05
"Las Vegas Strip Shoot during COVID-19 Quarantine shutdown.
.
.
#sincity #covid19 #vegasbabyyy #lasvegasstrips #mirage #treasureislandvegas #fashionshowmall #gilleys #sonya7rii @ Las Vegas, Nevada https://t.co/cerYs77LMT",0.0
@thetbone2004 Corona that caused him to pass on. :/,0.0
"I need to make Harley’s pony like this, otherwise it will fall forward in his face. 
🐾
🐾
🐾
He was such a good boy, sitting still while I did his hair. 
🐾
🐾
Two seconds later...
Swipe left 👉🏼 @ Corona, California https://t.co/7WWGBZ0XhR",0.1
"We broke the COVID-19 shelter in place rules! It was too hot 🥵 &amp; we wanted to see the sunset! We are going to kill each other at home, we needed an escape! At Moran Lake beach in Santa… https://t.co/iBZMnT3J0B",-0.25
