,tweet,sentiment,tweet,location
0,"Throwback to the last live show I went to on February 28th, 2020. @wwpj playing ""Quiet Little Voices"" Part 1 at @chameleon_club . Really missing concert/festival season. Thanks COVID #WWPJ #wewerepromisedjetpacks… https://t.co/KAkoKMNIUS",-0.008522727272727274,"Throwback to the last live show I went to on February 28th, 2020. @wwpj playing ""Quiet Little Voices"" Part 1 at @chameleon_club . Really missing concert/festival season. Thanks COVID #WWPJ #wewerepromisedjetpacks… https://t.co/KAkoKMNIUS",Pennsylvania
1,"Throwback to the last live show I went to on February 28th, 2020. @wwpj playing ""Quiet Little Voices"" Part 2 at @chameleon_club . Really missing concert/festival season. Thanks COVID #WWPJ #wewerepromisedjetpacks… https://t.co/DJ9Sjxxfv2",-0.008522727272727274,"Throwback to the last live show I went to on February 28th, 2020. @wwpj playing ""Quiet Little Voices"" Part 2 at @chameleon_club . Really missing concert/festival season. Thanks COVID #WWPJ #wewerepromisedjetpacks… https://t.co/DJ9Sjxxfv2",Pennsylvania
2,First girl’s night since the pandemic and all you get to see is a bathroom selfie and my food. 🤷🏼‍♀️ @ The Session Room https://t.co/j64G7zaRrX,0.25,First girl’s night since the pandemic and all you get to see is a bathroom selfie and my food. 🤷🏼‍♀️ @ The Session Room https://t.co/j64G7zaRrX,Michigan
3,"Illegitimate criminal coward imbecile occupant of the WH @realdonaldtrump is DIRECTLY responsible for the deaths of 130,000+ Americans dead from #COVID19. #TrumpVirus #TrumpPandemic #RussianAsset
Repost from… https://t.co/jRCfqa3Kqp",-0.30000000000000004,"Illegitimate criminal coward imbecile occupant of the WH @realdonaldtrump is DIRECTLY responsible for the deaths of 130,000+ Americans dead from #COVID19. #TrumpVirus #TrumpPandemic #RussianAsset
Repost from… https://t.co/jRCfqa3Kqp",Kansas
4,"The Covid Summer of 2020 kicks off with a bang with the new recordings in the works, new online shows and new merch. Ts are 30$ ( 2 for 40$) ea this (includes shipping cost) inbox us with your size color and address… https://t.co/yi71fA0RLB",0.13636363636363635,"The Covid Summer of 2020 kicks off with a bang with the new recordings in the works, new online shows and new merch. Ts are 30$ ( 2 for 40$) ea this (includes shipping cost) inbox us with your size color and address… https://t.co/yi71fA0RLB",North Carolina
5,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/z6tD4FjGF4,-0.0625,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/z6tD4FjGF4,New York
6,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ( https://t.co/E08ZbaEmrb,-0.0625,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ( https://t.co/E08ZbaEmrb,New York
7,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/0BbZ1LCefw,-0.125,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/0BbZ1LCefw,New York
8,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/VQQ0XX9l41,0.0,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/VQQ0XX9l41,New York
9,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #Masks4All ( https://t.co/tnm2A17ojp,0.0,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #Masks4All ( https://t.co/tnm2A17ojp,New York
10,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/mfg0MG1wIA,-0.0625,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/mfg0MG1wIA,New York
11,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/VKNXF1jdBv,0.0,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/VKNXF1jdBv,New York
12,"Had a little birthday bash last night! Kept it below 10 people so we could practice social distancing. With everything going on the world, it was a nice way to celebrate 28! Thank you to my besties for coming and… https://t.co/Lw7vLy28dO",0.375,"Had a little birthday bash last night! Kept it below 10 people so we could practice social distancing. With everything going on the world, it was a nice way to celebrate 28! Thank you to my besties for coming and… https://t.co/Lw7vLy28dO",Oregon
13,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/V7HvUcQ4lv,0.14895833333333333,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/V7HvUcQ4lv,New York
14,So happy we could part of their stop in St Louis on the Road Trip!! Fun things to do in STL while safely #SocialDistancing and enjoying… https://t.co/569i7XzVHs,-0.125,So happy we could part of their stop in St Louis on the Road Trip!! Fun things to do in STL while safely #SocialDistancing and enjoying… https://t.co/569i7XzVHs,Missouri
15,"Started back working from home again today as COVID cases are on the rise in our state. Grateful we were able to enjoy a little escape in the midst of it all. 🌴⛵️ @ Key West, Florida Keys https://t.co/Ger18xPbh3",0.375,"Started back working from home again today as COVID cases are on the rise in our state. Grateful we were able to enjoy a little escape in the midst of it all. 🌴⛵️ @ Key West, Florida Keys https://t.co/Ger18xPbh3",Florida
16,"Covid19 closed gyms down, and most people are stuck at home. Could you use a personal trainer to get you motivated or back on track? How about an ONLINE PERSONAL TRAINER?!?  My friend… https://t.co/SnkioWjIky",0.14250000000000002,"Covid19 closed gyms down, and most people are stuck at home. Could you use a personal trainer to get you motivated or back on track? How about an ONLINE PERSONAL TRAINER?!?  My friend… https://t.co/SnkioWjIky",Washington
17,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/N8X0Zc2uWL,0.8,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/N8X0Zc2uWL,New York
18,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ( https://t.co/ftm8B5joXk,-0.0625,I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ( https://t.co/ftm8B5joXk,New York
19,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/0sUgq7zimu,0.8,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/0sUgq7zimu,New York
20,Drinking a Corona Extra by @GrupoModelo_MX @ Tj Donlins — https://t.co/VgL42ddI4o,-0.125,Drinking a Corona Extra by @GrupoModelo_MX @ Tj Donlins — https://t.co/VgL42ddI4o,Illinois
21,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/96Fnue5Kzd,0.125,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/96Fnue5Kzd,New York
22,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/b0jd2NILEQ,0.0,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/b0jd2NILEQ,New York
23,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/ttvFcyHBXe,-0.16666666666666666,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/ttvFcyHBXe,New York
24,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/op724Vcnze,-0.125,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/op724Vcnze,New York
25,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/UYH9KFDhqe,0.5,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/UYH9KFDhqe,Illinois
26,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/NwLNWjn5Hp,0.18333333333333326,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/NwLNWjn5Hp,Indiana
27,"When the pandemic makes you realize you weren't appreciated at your job and it's time to start your business🤭😆

What movie is this from?🤔😆❤ #tiktok #instavideo #WaitingToExhale @ Chicago, Illinois https://t.co/pvnyeehwEJ",0.3083333333333333,"When the pandemic makes you realize you weren't appreciated at your job and it's time to start your business🤭😆

What movie is this from?🤔😆❤ #tiktok #instavideo #WaitingToExhale @ Chicago, Illinois https://t.co/pvnyeehwEJ",Illinois
28,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/GqcHcALleM,0.4,I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge #faceshield ( https://t.co/GqcHcALleM,New York
29,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/TbKScFf0cd,-0.0625,❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #Masks4All ( https://t.co/TbKScFf0cd,New York
30,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/zCli8npcsS,-0.125,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #Masks4All ( https://t.co/zCli8npcsS,New York
31,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #Masks4All ( https://t.co/qqdN20QOBm,0.1852746212121212,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #Masks4All ( https://t.co/qqdN20QOBm,New York
32,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/0gk0ahOxEz,-0.0625,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/0gk0ahOxEz,Texas
33,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/L80SEReTYr,0.18333333333333326,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/8Cy7dVVG0g  #Masks4All ( https://t.co/L80SEReTYr,New York
34,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/MdBeDxOE7d,0.0,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/MdBeDxOE7d,Wisconsin
35,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/OID7CtBVjz,0.18333333333333326,❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/8Cy7dVVG0g  #BillionShieldsChallenge #faceshield ( https://t.co/OID7CtBVjz,New York
36,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/aaClptCNKY,-0.125,Routine cleaning and disinfecting are an important part of reducing the risk of exposure to COVID-19. Normal routine cleaning with soap and water alone can reduce risk of exposure and is a necessary step before you… https://t.co/aaClptCNKY,Louisiana
37,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/xXkCF3W06p,0.18333333333333326,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ( https://t.co/xXkCF3W06p,New York
38,"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Wednesday, July 8. If you have a news tip or question, email us at news@KUT.org . https://t.co/Y8ct8R8SHU #atx #austin #all512",-0.125,"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Wednesday, July 8. If you have a news tip or question, email us at news@KUT.org . https://t.co/Y8ct8R8SHU #atx #austin #all512",Texas
39,"I got myself a copy of hamlet.machine newest comic called ""Pain Killer"".  Very heavymetal esque and possibly hit every damn kink on my list.  This was actually a graduation present to myself since COVID-19 took my… https://t.co/3Kr4epcJHc",0.0,"I got myself a copy of hamlet.machine newest comic called ""Pain Killer"".  Very heavymetal esque and possibly hit every damn kink on my list.  This was actually a graduation present to myself since COVID-19 took my… https://t.co/3Kr4epcJHc",California
40,"Since both sets of grandparents (still weird to say lol) have come out to visit Quinn, we’ve went to two different parts of the coast in the Bay. Absolutely love the ocean and have missed it during the pandemic.… https://t.co/3UafIAJNH9",0.09,"Since both sets of grandparents (still weird to say lol) have come out to visit Quinn, we’ve went to two different parts of the coast in the Bay. Absolutely love the ocean and have missed it during the pandemic.… https://t.co/3UafIAJNH9",California
41,Another beautiful #sunset on our #dailywalk. #clouds #noeditnofilter #flattenthecurve #itsbetteroutside #motherdaughtertime @ Helen's Park https://t.co/yn9aY6MkEf,0.125,Another beautiful #sunset on our #dailywalk. #clouds #noeditnofilter #flattenthecurve #itsbetteroutside #motherdaughtertime @ Helen's Park https://t.co/yn9aY6MkEf,Texas
42,Finally finding the time to read the 1 book 📖 I ordered months ago &amp; have been saying all pandemic I’m gonna read. And since it’s our next Virtual Book 📖 Club read...no time like the day before our zoom chat to open… https://t.co/6QKBV9fPPc,0.04545454545454545,Finally finding the time to read the 1 book 📖 I ordered months ago &amp; have been saying all pandemic I’m gonna read. And since it’s our next Virtual Book 📖 Club read...no time like the day before our zoom chat to open… https://t.co/6QKBV9fPPc,Hawaii
43,Footage of me just a bit ago in my quarantine costume taking a walk just to get out of the house. The lyrics express how I feel about the rest of the world during this quarantine... #covid19 #coronavirus… https://t.co/dhfclctIrw,0.85,Footage of me just a bit ago in my quarantine costume taking a walk just to get out of the house. The lyrics express how I feel about the rest of the world during this quarantine... #covid19 #coronavirus… https://t.co/dhfclctIrw,Arizona
44,"Air Guitar 🎸 Memories! Staying home in #nyc with two kids by yourself during a global pandemic, hard. Traveling with kids during a pandemic, hard. Fourteen days of going absolutely… https://t.co/Xc5MGujyR2",0.0,"Air Guitar 🎸 Memories! Staying home in #nyc with two kids by yourself during a global pandemic, hard. Traveling with kids during a pandemic, hard. Fourteen days of going absolutely… https://t.co/Xc5MGujyR2",New Mexico
45,People still want to dress up during Covid-just a fun fact. @ Rose Tuxedo https://t.co/mlOAWAsYJd,-0.09583333333333334,People still want to dress up during Covid-just a fun fact. @ Rose Tuxedo https://t.co/mlOAWAsYJd,Arizona
46,"“It’s so nice to see a clear, unambiguously right take.” 

What. A. Great. Read. 

Thank you Women of Roller Derby! 

Let’s just apply this to apply sports immediately, cool? https://t.co/0fY2dJUrHk",0.0,"“It’s so nice to see a clear, unambiguously right take.” 

What. A. Great. Read. 

Thank you Women of Roller Derby! 

Let’s just apply this to apply sports immediately, cool? https://t.co/0fY2dJUrHk",Kentucky
