,Province_State,Confirmed
0,Alabama,9046
1,Alaska,374
3,Arizona,9945
4,Arkansas,3703
5,California,62148
6,Colorado,18370
7,Connecticut,31784
8,Delaware,5939
10,District of Columbia,5654
11,Florida,38828
12,Georgia,31618
15,Hawaii,629
16,Idaho,2178
17,Illinois,70871
18,Indiana,22503
19,Iowa,11059
20,Kansas,6332
21,Kentucky,6129
22,Louisiana,30652
23,Maine,1330
24,Maryland,29374
25,Massachusetts,73721
26,Michigan,45745
27,Minnesota,9365
28,Mississippi,8686
29,Missouri,9581
30,Montana,456
31,Nebraska,7334
32,Nevada,5855
33,New Hampshire,2843
34,New Jersey,133991
35,New Mexico,4493
36,New York,327469
37,North Carolina,13540
38,North Dakota,1371
40,Ohio,22131
41,Oklahoma,4330
42,Oregon,2989
43,Pennsylvania,55956
45,Rhode Island,10530
46,South Carolina,7142
47,South Dakota,2906
48,Tennessee,14096
49,Texas,36036
50,Utah,5724
51,Vermont,916
53,Virginia,21570
54,Washington,16231
55,West Virginia,1287
56,Wisconsin,9215
57,Wyoming,635
