tweet,location
Los Angeles is #1 in the country for covid cases. Some studies have shown that some TYPE A blood types have a genetic proclivity to an immune system response that causes your organs to shut down - EVEN IN YOUNG AND… https://t.co/MKehz1gkUx,California
Covid-19 test ain’t no joke! Swab felt like a nail being twisted and held in your nose for 10 long seconds! #WearaMask #washyourhands @ Physicians Premier Emergency Room https://t.co/xqjJRaRn7o,Texas
"We social distancing right? Congrats 2LT Huang! #zeroevidence #commissioningceremony #2LT @ Alameda, California https://t.co/ShKemSyvtZ",California
"Looking for Distributors &amp; Resellers for Dokat Air - an Air Germicide

https://t.co/CoKYMWBPGn 

#covid #covid19 #airpurifier #air #germicide #distributors #resellers @ Chicago, Illinois https://t.co/Cs46WOKrgu",Illinois
"FAMILY CAMP is now available from one of my favorite camps by @WRNVISION ! I know we normally like camp to be on a lake or in the woods, but with social distancing needs, I'm helping to produce a virtual camp… https://t.co/ymaFvZcAG8",California
"Wait... so you are saying for a population of 3,179,950 and total deaths of 185 in Orange County CA... the chance of dying from #COVID19 is 0.000058177015362 and I should wear a freakin… https://t.co/0uVaQgBm5k",California
"Socially conscious social distancing.  Stronger together to create better. Thanks Alli, E, Darice, Lisa, Patti, Carla, June, Aparna, Karen, Leo, Rebecca, Grace, Christine, Christina you’re warriors! @ Dojo USA https://t.co/oZz6bKlRBW",California
"EMBRACE ACTIVE TRANSPORT!
Bike riding in the time of Coronavirus.
As the Coronavirus (COVID-19) pandemic continues to spread- now is not the time to stop pedaling and the perfect time to start if you’ve been… https://t.co/OaMJEH4x6X",Florida
"🧃🎀 Wishing everyone a safe #summer and a happy #week.🧊🤍 💚
#filters #selfie #rain #covid #twentytwenty #producer #assistant #smithsonian #school #scarymovies #blind #barbeerehab #amazon #socialdistancing #moretocome… https://t.co/gfhPRuBdJn",California
"@CosmoFox Yeah, that is one upside from the pandemic. We’re all realizing that we never really needed to eat out that much.",Delaware
#confederatestatues #confederatestatuesmustgo F.trump....confederates spread COVID-19 @ United States https://t.co/2UUH50stc9,Kansas
Breaking news corona virus my pool is opening #news #covid #coronavirus #india #instagram #love #like #follow #media #music #corona #viral #breakingnews #fashion #instagood #noticias #politics #trending #indonesia… https://t.co/34jaUSro3s,Florida
What Role Does HVAC Play in Reducing Coronavirus Risks in Buildings? https://t.co/57lEOG4J4b,California
"@MainStrass @KyleKile Hi. 

It is possible there won’t be any medical bills. 

If Jake lives in KY &amp; is under 65, he is eligible for Medicaid right now until the end of August bc of a temporary expansion of Presumptive Eligibility bc Covid. 

If he lives in Ohio same is possible, but through hospital",Kentucky
THURSDAY: FREE FOOD Distribution at YJC! 🍞🍗🍌🥦Please share widely for any families in need. FRIDAY: FREE LA YJC High School Virtual &amp; Drive-Thru Graduation! 👩🏿‍🎓🚘👨🏾‍🎓#COVID Safe for both. 😷😷 Make a donation if you… https://t.co/cJv9wnwox7,California
"What Governor andrewcuomo said.  WEAR A MASK, PROTECT OTHERS.  It’s up to each of us 💪🏻🇺🇸 #USA #COVID19 #coronavirus #SARSCoV2 #fitness #lawyer #fitlawyer #igfit #igfitness #bodybuilding #wellness #health #fitfam… https://t.co/jnUH5vnFSw",Texas
"This is #newyorkcity in phase 1 operating. #socialdistancing for #covid_19 @ New York, New York https://t.co/gSdO9ultHn",New York
