,Province_State,Confirmed
0,Alabama,20043
1,Alaska,535
3,Arizona,25451
4,Arkansas,9101
5,California,128593
6,Colorado,27834
7,Connecticut,43818
8,Delaware,9845
10,District of Columbia,9269
11,Florida,62758
12,Georgia,51359
15,Hawaii,673
16,Idaho,3139
17,Illinois,126890
18,Indiana,36997
19,Iowa,21478
20,Kansas,10361
21,Kentucky,11287
22,Louisiana,42486
23,Maine,2524
24,Maryland,57482
25,Massachusetts,103132
26,Michigan,64229
27,Minnesota,27501
28,Mississippi,17039
29,Missouri,14951
30,Montana,540
31,Nebraska,15572
32,Nevada,9491
33,New Hampshire,5019
34,New Jersey,163893
35,New Mexico,8800
36,New York,377316
37,North Carolina,34718
38,North Dakota,2816
40,Ohio,38111
41,Oklahoma,7059
42,Oregon,4570
43,Pennsylvania,79505
45,Rhode Island,15441
46,South Carolina,13453
47,South Dakota,5367
48,Tennessee,26177
49,Texas,74470
50,Utah,11798
51,Vermont,1046
53,Virginia,49397
54,Washington,23442
55,West Virginia,2136
56,Wisconsin,20571
57,Wyoming,939
