,Province_State,Confirmed
0,Alabama,6026
1,Alaska,339
3,Arizona,6286
4,Arkansas,2911
5,California,42368
6,Colorado,12968
7,Connecticut,24583
8,Delaware,3576
10,District of Columbia,3699
11,Florida,30839
12,Georgia,23222
15,Hawaii,605
16,Idaho,1887
17,Illinois,41777
18,Indiana,14399
19,Iowa,5092
20,Kansas,3135
21,Kentucky,3915
22,Louisiana,26512
23,Maine,965
24,Maryland,17766
25,Massachusetts,53348
26,Michigan,37074
27,Minnesota,3446
28,Mississippi,5718
29,Missouri,6935
30,Montana,445
31,Nebraska,2719
32,Nevada,4539
33,New Hampshire,1797
34,New Jersey,105498
35,New Mexico,2660
36,New York,282143
37,North Carolina,8768
38,North Dakota,803
40,Ohio,15587
41,Oklahoma,3194
42,Oregon,2253
43,Pennsylvania,41153
45,Rhode Island,7129
46,South Carolina,5253
47,South Dakota,2147
48,Tennessee,9189
49,Texas,24153
50,Utah,3948
51,Vermont,843
53,Virginia,12366
54,Washington,13319
55,West Virginia,1010
56,Wisconsin,5687
57,Wyoming,491
