,Province_State,Confirmed
0,Alabama,5079
1,Alaska,321
3,Arizona,5068
4,Arkansas,1973
5,California,33686
6,Colorado,9730
7,Connecticut,19815
8,Delaware,2745
10,District of Columbia,2927
11,Florida,27059
12,Georgia,19407
15,Hawaii,584
16,Idaho,1672
17,Illinois,31513
18,Indiana,11688
19,Iowa,3159
20,Kansas,2048
21,Kentucky,3050
22,Louisiana,24523
23,Maine,875
24,Maryland,13684
25,Massachusetts,38077
26,Michigan,32000
27,Minnesota,2470
28,Mississippi,4512
29,Missouri,5890
30,Montana,433
31,Nebraska,1648
32,Nevada,3830
33,New Hampshire,1447
34,New Jersey,88722
35,New Mexico,1971
36,New York,253060
37,North Carolina,6895
38,North Dakota,627
40,Ohio,12919
41,Oklahoma,2680
42,Oregon,1957
43,Pennsylvania,33914
45,Rhode Island,5090
46,South Carolina,4446
47,South Dakota,1685
48,Tennessee,7238
49,Texas,19751
50,Utah,3213
51,Vermont,816
53,Virginia,8990
54,Washington,12114
55,West Virginia,902
56,Wisconsin,4499
57,Wyoming,317
