,Province_State,Confirmed
0,Alabama,3953
1,Alaska,285
3,Arizona,3809
4,Arkansas,1498
5,California,25356
6,Colorado,7950
7,Connecticut,13989
8,Delaware,1926
10,District of Columbia,2058
11,Florida,21628
12,Georgia,14578
15,Hawaii,511
16,Idaho,1464
17,Illinois,23248
18,Indiana,8527
19,Iowa,1899
20,Kansas,1441
21,Kentucky,2048
22,Louisiana,21518
23,Maine,735
24,Maryland,9472
25,Massachusetts,28164
26,Michigan,27001
27,Minnesota,1695
28,Mississippi,3087
29,Missouri,4746
30,Montana,399
31,Nebraska,897
32,Nevada,3134
33,New Hampshire,922
34,New Jersey,68824
35,New Mexico,1345
36,New York,203020
37,North Carolina,5113
38,North Dakota,341
40,Ohio,7285
41,Oklahoma,2184
42,Oregon,1633
43,Pennsylvania,25465
45,Rhode Island,3251
46,South Carolina,3553
47,South Dakota,988
48,Tennessee,5827
49,Texas,15006
50,Utah,2417
51,Vermont,752
53,Virginia,6182
54,Washington,10799
55,West Virginia,640
56,Wisconsin,3555
57,Wyoming,282
