,Province_State,Confirmed
0,Alabama,51947
1,Alaska,1385
3,Arizona,119930
4,Arkansas,27864
5,California,318761
6,Colorado,36573
7,Connecticut,47287
8,Delaware,12743
10,District of Columbia,10801
11,Florida,254511
12,Georgia,114401
15,Hawaii,1200
16,Idaho,10506
17,Illinois,154094
18,Indiana,51079
19,Iowa,34658
20,Kansas,18687
21,Kentucky,19121
22,Louisiana,76803
23,Maine,3520
24,Maryland,72467
25,Massachusetts,111398
26,Michigan,76370
27,Minnesota,41571
28,Mississippi,35419
29,Missouri,27606
30,Montana,1677
31,Nebraska,20998
32,Nevada,26838
33,New Hampshire,6024
34,New Jersey,174959
35,New Mexico,14773
36,New York,401029
37,North Carolina,83906
38,North Dakota,4243
40,Ohio,64214
41,Oklahoma,19779
42,Oregon,11851
43,Pennsylvania,99216
45,Rhode Island,17312
46,South Carolina,54699
47,South Dakota,7454
48,Tennessee,61006
49,Texas,254415
50,Utah,28855
51,Vermont,1283
53,Virginia,69782
54,Washington,39218
55,West Virginia,4146
56,Wisconsin,35679
57,Wyoming,1839
