,Province_State,Confirmed
0,Alabama,5832
1,Alaska,337
3,Arizona,5772
4,Arkansas,2599
5,California,39561
6,Colorado,11278
7,Connecticut,23100
8,Delaware,3308
10,District of Columbia,3361
11,Florida,29648
12,Georgia,21883
15,Hawaii,596
16,Idaho,1836
17,Illinois,36937
18,Indiana,13039
19,Iowa,3924
20,Kansas,2721
21,Kentucky,3479
22,Louisiana,25739
23,Maine,937
24,Maryland,15737
25,Massachusetts,46023
26,Michigan,35296
27,Minnesota,2942
28,Mississippi,5153
29,Missouri,6506
30,Montana,442
31,Nebraska,2202
32,Nevada,4208
33,New Hampshire,1670
34,New Jersey,100025
35,New Mexico,2379
36,New York,263460
37,North Carolina,7820
38,North Dakota,709
40,Ohio,14694
41,Oklahoma,3017
42,Oregon,2127
43,Pennsylvania,38379
45,Rhode Island,6256
46,South Carolina,4917
47,South Dakota,1956
48,Tennessee,8266
49,Texas,22650
50,Utah,3612
51,Vermont,825
53,Virginia,10998
54,Washington,12753
55,West Virginia,981
56,Wisconsin,5052
57,Wyoming,453
