,Province_State,Confirmed
0,Alabama,7294
1,Alaska,364
3,Arizona,7969
4,Arkansas,3337
5,California,52026
6,Colorado,15793
7,Connecticut,28764
8,Delaware,4918
10,District of Columbia,4658
11,Florida,34728
12,Georgia,27489
15,Hawaii,619
16,Idaho,2015
17,Illinois,56055
18,Indiana,18630
19,Iowa,7884
20,Kansas,4634
21,Kentucky,4882
22,Louisiana,28711
23,Maine,1123
24,Maryland,23472
25,Massachusetts,64311
26,Michigan,42356
27,Minnesota,5730
28,Mississippi,7212
29,Missouri,8067
30,Montana,453
31,Nebraska,5008
32,Nevada,5248
33,New Hampshire,2310
34,New Jersey,121190
35,New Mexico,3513
36,New York,308314
37,North Carolina,11070
38,North Dakota,1107
40,Ohio,18743
41,Oklahoma,3748
42,Oregon,2579
43,Pennsylvania,49579
45,Rhode Island,8962
46,South Carolina,6258
47,South Dakota,2525
48,Tennessee,11891
49,Texas,29692
50,Utah,4828
51,Vermont,879
53,Virginia,16902
54,Washington,14637
55,West Virginia,1152
56,Wisconsin,7314
57,Wyoming,566
