,Province_State,Confirmed
0,Alabama,21989
1,Alaska,592
3,Arizona,29852
4,Arkansas,10368
5,California,139715
6,Colorado,28484
7,Connecticut,44347
8,Delaware,10056
10,District of Columbia,9537
11,Florida,67371
12,Georgia,53980
15,Hawaii,685
16,Idaho,3260
17,Illinois,129837
18,Indiana,38337
19,Iowa,22626
20,Kansas,10750
21,Kentucky,11883
22,Louisiana,44030
23,Maine,2637
24,Maryland,59465
25,Massachusetts,104156
26,Michigan,65182
27,Minnesota,28869
28,Mississippi,18483
29,Missouri,15512
30,Montana,561
31,Nebraska,16058
32,Nevada,10218
33,New Hampshire,5178
34,New Jersey,165346
35,New Mexico,9250
36,New York,380156
37,North Carolina,38473
38,North Dakota,2941
40,Ohio,39575
41,Oklahoma,7483
42,Oregon,5060
43,Pennsylvania,81316
45,Rhode Island,15756
46,South Carolina,15759
47,South Dakota,5604
48,Tennessee,27930
49,Texas,80777
50,Utah,12864
51,Vermont,1095
53,Virginia,52177
54,Washington,24354
55,West Virginia,2194
56,Wisconsin,21593
57,Wyoming,980
