,Province_State,Confirmed
0,Alabama,24601
1,Alaska,653
3,Arizona,34660
4,Arkansas,12095
5,California,150018
6,Colorado,29002
7,Connecticut,44994
8,Delaware,10229
10,District of Columbia,9709
11,Florida,73552
12,Georgia,56804
15,Hawaii,723
16,Idaho,3353
17,Illinois,131871
18,Indiana,39543
19,Iowa,23717
20,Kansas,11020
21,Kentucky,12445
22,Louisiana,46283
23,Maine,2757
24,Maryland,61305
25,Massachusetts,105395
26,Michigan,65836
27,Minnesota,30172
28,Mississippi,19348
29,Missouri,16232
30,Montana,588
31,Nebraska,16640
32,Nevada,10997
33,New Hampshire,5299
34,New Jersey,166605
35,New Mexico,9621
36,New York,382630
37,North Carolina,42845
38,North Dakota,3058
40,Ohio,40851
41,Oklahoma,8073
42,Oregon,5377
43,Pennsylvania,82944
45,Rhode Island,15947
46,South Carolina,17955
47,South Dakota,5833
48,Tennessee,29549
49,Texas,86915
50,Utah,13981
51,Vermont,1125
53,Virginia,53869
54,Washington,25538
55,West Virginia,2274
56,Wisconsin,22518
57,Wyoming,1050
