,Province_State,Confirmed
0,Alabama,35083
1,Alaska,851
3,Arizona,70124
4,Arkansas,19310
5,California,210584
6,Colorado,32006
7,Connecticut,46206
8,Delaware,11091
10,District of Columbia,10216
11,Florida,132545
12,Georgia,74985
15,Hawaii,872
16,Idaho,5322
17,Illinois,141077
18,Indiana,44575
19,Iowa,28073
20,Kansas,13617
21,Kentucky,15167
22,Louisiana,54769
23,Maine,3154
24,Maryland,66450
25,Massachusetts,108443
26,Michigan,69679
27,Minnesota,35033
28,Mississippi,25531
29,Missouri,20572
30,Montana,852
31,Nebraska,18775
32,Nevada,16339
33,New Hampshire,5717
34,New Jersey,170873
35,New Mexico,11619
36,New York,391923
37,North Carolina,60812
38,North Dakota,3458
40,Ohio,49455
41,Oklahoma,12646
42,Oregon,8094
43,Pennsylvania,89446
45,Rhode Island,16661
46,South Carolina,31939
47,South Dakota,6626
48,Tennessee,40172
49,Texas,145894
50,Utah,20628
51,Vermont,1200
53,Virginia,61247
54,Washington,31404
55,West Virginia,2782
56,Wisconsin,27286
57,Wyoming,1392
